splitId,date,product,residualFirstOutcome,residualLatestOutcome,residualRows,usedSparseFallback,newObservedHistoryUsed,correctionP50,correctionP75
split-1,2023-07-01,11,2023-05-06,2023-06-30,54,False,False,0.51023674011230469,-0.13887596130371094
split-1,2023-07-01,12,2023-05-06,2023-06-30,53,False,False,0.071408271789550781,-0.22995948791503906
split-1,2023-07-01,13,2023-05-06,2023-06-30,54,False,False,-1.3535518646240234,-2.0140657424926758
split-1,2023-07-01,21,2023-05-06,2023-06-30,54,False,False,-0.75203323364257812,-0.84696531295776367
split-1,2023-07-01,35,2023-05-06,2023-06-30,54,False,False,-1.1661405563354492,1.0181922912597656
split-1,2023-07-01,82,2023-05-06,2023-06-30,54,False,False,1.9452733993530273,0.55373191833496094
split-1,2023-07-02,11,2023-05-07,2023-07-01,54,False,True,0.51023674011230469,-0.13887596130371094
split-1,2023-07-02,12,2023-05-07,2023-07-01,53,False,True,0.31342601776123047,0.029720306396484375
split-1,2023-07-02,13,2023-05-07,2023-07-01,54,False,True,-1.3535518646240234,-2.0140657424926758
split-1,2023-07-02,21,2023-05-07,2023-07-01,54,False,True,-0.75203323364257812,-0.84696531295776367
split-1,2023-07-02,35,2023-05-07,2023-07-01,54,False,True,-1.7735509872436523,0.022541999816894531
split-1,2023-07-02,82,2023-05-07,2023-07-01,54,False,True,1.9452733993530273,0.55373191833496094
split-1,2023-07-03,11,2023-05-08,2023-07-02,54,False,True,0.51023674011230469,-0.13887596130371094
split-1,2023-07-03,12,2023-05-08,2023-07-02,53,False,True,0.31342601776123047,0.029720306396484375
split-1,2023-07-03,13,2023-05-08,2023-07-02,54,False,True,-1.2675533294677734,-1.7863554954528809
split-1,2023-07-03,21,2023-05-08,2023-07-02,54,False,True,-0.75203323364257812,-0.84696531295776367
split-1,2023-07-03,35,2023-05-08,2023-07-02,54,False,True,-1.1661405563354492,0.91678619384765625
split-1,2023-07-03,82,2023-05-08,2023-07-02,54,False,True,1.7778596878051758,0.41249752044677734
split-1,2023-07-04,11,2023-05-09,2023-07-03,54,False,True,0.51023674011230469,-0.13887596130371094
split-1,2023-07-04,12,2023-05-09,2023-07-03,53,False,True,0.071408271789550781,-0.22995948791503906
split-1,2023-07-04,13,2023-05-09,2023-07-03,54,False,True,-1.2675533294677734,-2.0140657424926758
split-1,2023-07-04,21,2023-05-09,2023-07-03,54,False,True,-0.87349367141723633,-1.3173060417175293
split-1,2023-07-04,35,2023-05-09,2023-07-03,54,False,True,-1.1661405563354492,1.18896484375
split-1,2023-07-04,82,2023-05-09,2023-07-03,54,False,True,1.7778596878051758,0.41249752044677734
split-1,2023-07-05,11,2023-05-10,2023-07-04,54,False,True,0.51023674011230469,-0.13887596130371094
split-1,2023-07-05,12,2023-05-10,2023-07-04,53,False,True,0.31342601776123047,-0.22995948791503906
split-1,2023-07-05,13,2023-05-10,2023-07-04,54,False,True,-0.81708335876464844,-2.0140657424926758
split-1,2023-07-05,21,2023-05-10,2023-07-04,54,False,True,-0.75203323364257812,-1.3173060417175293
split-1,2023-07-05,35,2023-05-10,2023-07-04,54,False,True,-0.38506031036376953,2.1071376800537109
split-1,2023-07-05,82,2023-05-10,2023-07-04,54,False,True,1.7778596878051758,0.41249752044677734
split-1,2023-07-06,11,2023-05-11,2023-07-05,54,False,True,0.60932636260986328,-0.085799217224121094
split-1,2023-07-06,12,2023-05-11,2023-07-05,53,False,True,0.31342601776123047,-0.22995948791503906
split-1,2023-07-06,13,2023-05-11,2023-07-05,54,False,True,-1.2675533294677734,-2.0140657424926758
split-1,2023-07-06,21,2023-05-11,2023-07-05,54,False,True,-0.75203323364257812,-1.3173060417175293
split-1,2023-07-06,35,2023-05-11,2023-07-05,54,False,True,0.073406219482421875,2.1071376800537109
split-1,2023-07-06,82,2023-05-11,2023-07-05,54,False,True,1.6417217254638672,0.41249752044677734
split-1,2023-07-07,11,2023-05-12,2023-07-06,54,False,True,0.65624094009399414,-0.085799217224121094
split-1,2023-07-07,12,2023-05-12,2023-07-06,53,False,True,0.31342601776123047,0.029720306396484375
split-1,2023-07-07,13,2023-05-12,2023-07-06,54,False,True,-1.1170310974121094,-2.0140657424926758
split-1,2023-07-07,21,2023-05-12,2023-07-06,54,False,True,-0.56779861450195312,-0.84696531295776367
split-1,2023-07-07,35,2023-05-12,2023-07-06,54,False,True,0.80681610107421875,2.1071376800537109
split-1,2023-07-07,82,2023-05-12,2023-07-06,54,False,True,1.8446998596191406,0.41249752044677734
split-1,2023-07-08,11,2023-05-13,2023-07-07,54,False,True,0.71710491180419922,-0.085799217224121094
split-1,2023-07-08,12,2023-05-13,2023-07-07,53,False,True,0.31342601776123047,0.029720306396484375
split-1,2023-07-08,13,2023-05-13,2023-07-07,54,False,True,-0.67808914184570312,-2.0140657424926758
split-1,2023-07-08,21,2023-05-13,2023-07-07,54,False,True,-0.56779861450195312,-0.84696531295776367
split-1,2023-07-08,35,2023-05-13,2023-07-07,54,False,True,0.80681610107421875,2.1071376800537109
split-1,2023-07-08,82,2023-05-13,2023-07-07,54,False,True,1.8773946762084961,0.41249752044677734
split-1,2023-07-09,11,2023-05-14,2023-07-08,54,False,True,0.7971959114074707,-0.0020852088928222656
