date,product,nativeP10,nativeP20,nativeP30,nativeP40,nativeP50,nativeP60,nativeP70,nativeP80,nativeP90,requestedP10,requestedP50,requestedP75,requestedP90
2023-05-06,11,3.6113224029541016,4.7491006851196289,5.6632251739501953,6.5389728546142578,7.4241447448730469,8.4146900177001953,9.5824527740478516,11.138123512268066,13.869331359863281,3.6113224029541016,7.4241447448730469,10.360288619995117,13.869331359863281
2023-05-06,12,3.3889269828796387,4.5017051696777344,5.3783369064331055,6.1945056915283203,6.997401237487793,7.851161003112793,8.8332614898681641,10.104813575744629,12.256148338317871,3.3889269828796387,6.997401237487793,9.4690380096435547,12.256148338317871
2023-05-06,13,7.7404108047485352,9.8318214416503906,11.505656242370605,13.048126220703125,14.575422286987305,16.174606323242188,18.007036209106445,20.35334587097168,24.234413146972656,7.7404108047485352,14.575422286987305,19.180191040039062,24.234413146972656
2023-05-06,21,8.3131399154663086,10.630640029907227,12.531041145324707,14.292011260986328,16.061763763427734,17.882480621337891,19.933061599731445,22.539081573486328,26.732728958129883,8.3131399154663086,16.061763763427734,21.236072540283203,26.732728958129883
2023-05-06,35,13.039569854736328,15.751129150390625,17.942544937133789,20.005535125732422,22.074253082275391,24.339023590087891,26.976310729980469,30.405479431152344,36.072254180908203,13.039569854736328,22.074253082275391,28.690895080566406,36.072254180908203
2023-05-06,82,7.4644107818603516,8.9019794464111328,10.027912139892578,11.094364166259766,12.14678955078125,13.293052673339844,14.626103401184082,16.408180236816406,19.546188354492188,7.4644107818603516,12.14678955078125,15.517141342163086,19.546188354492188
2023-05-07,11,4.8055572509765625,6.0684728622436523,7.0729560852050781,8.0219364166259766,8.9825286865234375,10.037986755371094,11.274612426757812,12.905323028564453,15.7318115234375,4.8055572509765625,8.9825286865234375,12.089967727661133,15.7318115234375
2023-05-07,12,4.2848701477050781,5.304110050201416,6.1149535179138184,6.8876676559448242,7.6557793617248535,8.4838542938232422,9.4455223083496094,10.698611259460449,12.805614471435547,4.2848701477050781,7.6557793617248535,10.072067260742188,12.805614471435547
2023-05-07,13,10.740696907043457,12.789669036865234,14.400958061218262,15.90056037902832,17.384662628173828,18.959173202514648,20.745645523071289,23.056976318359375,26.844392776489258,10.740696907043457,17.384662628173828,21.901309967041016,26.844392776489258
2023-05-07,21,12.469086647033691,14.655414581298828,16.403858184814453,18.060634613037109,19.709243774414062,21.440643310546875,23.374870300292969,25.848102569580078,29.768144607543945,12.469086647033691,19.709243774414062,24.611486434936523,29.768144607543945
2023-05-07,35,21.824508666992188,25.789779663085938,28.953788757324219,31.891735076904297,34.759258270263672,37.889095306396484,41.521942138671875,46.26446533203125,53.872261047363281,21.824508666992188,34.759258270263672,43.893203735351562,53.872261047363281
2023-05-07,82,7.2639446258544922,8.6126289367675781,9.6733474731445312,10.686182022094727,11.700556755065918,12.819562911987305,14.133834838867188,15.911722183227539,19.040176391601562,7.2639446258544922,11.700556755065918,15.022778511047363,19.040176391601562
2023-05-08,11,5.0457372665405273,5.9373788833618164,6.6351404190063477,7.321415901184082,8.039921760559082,8.8912429809570312,9.9442138671875,11.384607315063477,13.979640960693359,5.0457372665405273,8.039921760559082,10.664410591125488,13.979640960693359
