date,product,contextFirstDate,contextLastDate,calendarSlots,observedSlots,nanSlots,contextSha256
2023-05-12,13,2021-12-16,2023-05-11,512,376,136,b70271f36dea15bdf7d64c5e2506fe2cf5df8c4203751a0ce2c38cd663291a85
2023-05-12,21,2021-12-16,2023-05-11,512,377,135,4fca3384672995722a9f3ef6c8f01740e16bda98caeb840e27b8bcfb3dedc744
2023-05-12,35,2021-12-16,2023-05-11,512,373,139,075402963109b8c0463dfc3cc14ffa33ed749b2e8cbbbad9aef6b350879c7f9f
2023-05-12,82,2021-12-16,2023-05-11,512,370,142,1f4d5eefaf13d74b654c6aa340ba1b5894f605977bc8dafa38732131aa848a1f
2023-05-13,11,2021-12-17,2023-05-12,512,379,133,01512f1584756c3c83098fd8ef5c49a67c9e082e07c710dcc7ad9941cddd3018
2023-05-13,12,2021-12-17,2023-05-12,512,371,141,73c02ad36730ef8b84191b32fcdba47c94e81bddfcf70f348b2ec353d58f4c9a
2023-05-13,13,2021-12-17,2023-05-12,512,377,135,05d6fcc78a327a4e838f3a751bace3e72cb4c887995b0ff7486c4ae6f2bfb3f8
2023-05-13,21,2021-12-17,2023-05-12,512,378,134,ebbb92f841da788f93b3eb136f8583f1f6d777ca69c923a5613aa0c336e31557
2023-05-13,35,2021-12-17,2023-05-12,512,374,138,dc5f3a64563d4a195227e30069e09b2311a2109c6f919644ced2a461aff10cc3
2023-05-13,82,2021-12-17,2023-05-12,512,371,141,e5c78107df5cd25c5ff896ded2d07f364ab3161168172cde75cf3c188f41a501
2023-05-14,11,2021-12-18,2023-05-13,512,380,132,49adc15e8ce05d95acffe0192fdcab1736a39eb3f36ea6b2c2bd1bfda968bcd7
2023-05-14,12,2021-12-18,2023-05-13,512,372,140,c4fbcd6d38bf1873def2aebc321033d0832a7820f290f5b8a873d99137d857bb
2023-05-14,13,2021-12-18,2023-05-13,512,378,134,e7b3410160df2ab03af1407bf51d88800ffefe2341fd01d5b97f23152dcc1701
2023-05-14,21,2021-12-18,2023-05-13,512,379,133,d578548b088c5fc241b9d43eb14166da64cc5dc29a9af4bdb47488956410284f
2023-05-14,35,2021-12-18,2023-05-13,512,375,137,3012419b41fd0ddf481d052372de94442b2cd4159c816e72bed2a4ad5b653ccb
2023-05-14,82,2021-12-18,2023-05-13,512,372,140,b6fba7372a7be9cd84186186ae31df45a14d2fad00c8b3686dbc6b4f967490b7
2023-05-15,11,2021-12-19,2023-05-14,512,381,131,e4f2cdfacba61f67ba6a5e5e37fc432a9724df8cb920bb3cfeb45769cdffe0e1
2023-05-15,12,2021-12-19,2023-05-14,512,373,139,47dc6ab96d8f63ae2e63b208e988936b522b77778c7d33bc74fa0975b1d9ea62
2023-05-15,13,2021-12-19,2023-05-14,512,379,133,f9f122c6b2e043e7ae28033473d984da732c5eeb50f3c0512cb480ec1b8310bb
2023-05-15,21,2021-12-19,2023-05-14,512,380,132,7e0f8f9c1cb3386980e1b2662ead48d3807436e07e0d3a88207e5e8c65df618e
2023-05-15,35,2021-12-19,2023-05-14,512,376,136,d0c3d385587a4fc41c5e8dc7b61b521d557707ca987866734e20876ff14414ae
2023-05-15,82,2021-12-19,2023-05-14,512,373,139,c9e997fb182979c0961379db6530e41d6a1c120b95b71d4dacc7b7599910f318
2023-05-16,11,2021-12-20,2023-05-15,512,382,130,e6dde7e63ab59d0bf88d6d94f669f8c1d668346a2e709b5f2069738026205721
2023-05-16,12,2021-12-20,2023-05-15,512,374,138,cbad7f7654d938abf5deca5f2ef234548a79a1f6b052da8123a43c8b32827824
2023-05-16,13,2021-12-20,2023-05-15,512,380,132,d6624959b692d9ee139609758ddf25b486dc1b739ca5ded614da01d56e2d907d
2023-05-16,21,2021-12-20,2023-05-15,512,381,131,bf68b18eec24f7333e639b9b948eb002396b44affe7cbc6187b7978b65b3381b
2023-05-16,35,2021-12-20,2023-05-15,512,377,135,e03ff945d6efcb01b2510e087fc560a944d029a7771d135c3dad779327498809
2023-05-16,82,2021-12-20,2023-05-15,512,374,138,4948907e112fb600d866d8971ea0b487fef1aaf9bd128ae17c8f294a6c67163e
2023-05-17,11,2021-12-21,2023-05-16,512,383,129,de83557df8360f87d399e9d59cc1f14872a2dd3e924c9de9ef76ebff3027a8c0
2023-05-17,12,2021-12-21,2023-05-16,512,375,137,26519cbab6a8912a9bcc68883b312d61ea5ee7f61ed0186cbbcf0a8858ae37a1
2023-05-17,13,2021-12-21,2023-05-16,512,381,131,0c4ddf355e727d0a0a72e37aa63fec879ebfcbb799559bdc5bf00a51afdc203b
