id,modelId,splitId,n,actualTotal,wape,mae,over,under,loss,fitSeconds,status
split-2:extra-trees,extra-trees,split-2,366,8278,37.0500120802,8.37978142077,3992,258,4766,1.096143997,completed
split-2:histogram-small,histogram-small,split-2,366,8278,39.8491217149,9.01286965999,3868,254,4630,1.227834878,completed
split-2:histogram-medium,histogram-medium,split-2,366,8278,38.5945394023,8.72911467685,4486,180,5026,2.790844913,completed
split-2:histogram-large,histogram-large,split-2,366,8278,39.1431773795,8.85320279638,4643,163,5132,6.302457471,completed
split-2:lightgbm,lightgbm,split-2,366,8278,38.5868327059,8.72737161582,4403,202,5009,0.707961732,completed
split-2:xgboost,xgboost,split-2,366,8278,38.626878784,8.73642903208,4511,175,5036,0.882645059,completed
split-2:catboost,catboost,split-2,366,8278,39.8675187784,9.01703061333,4024,264,4816,0.802889982,completed
split-2:sarima,sarima,split-2,366,8278,35.5079247823,8.03100003682,3837,376,4965,13.100673088,completed
split-2:state-space,state-space,split-2,366,8278,27.5404505921,6.22895765032,2728,461,4111,6.588498352,completed
split-2:holt,holt,split-2,366,8278,30.4347154138,6.88356760097,2932,600,4732,0.309557345,completed
split-2:ou-sde,ou-sde,split-2,366,8278,30.3690976739,6.86872651761,3212,377,4343,0.454813286,completed
split-2:nonlinear-ode,nonlinear-ode,split-2,366,8278,30.3541056439,6.86533569727,3852,279,4689,0.564876428,completed
split-2:nonlinear-sde,nonlinear-sde,split-2,366,8278,30.2322669543,6.83777884831,3230,385,4385,0.739325382,completed
split-2:mlp,mlp,split-2,366,8278,36.0476830587,8.15307979125,3856,353,4915,10.499843294,completed
split-2:lstm,lstm,split-2,366,8278,33.7013220054,7.62239190056,3336,424,4608,22.449199998,completed
split-2:gru,gru,split-2,366,8278,34.235516077,7.74321317174,3983,323,4952,54.212957219,completed
split-2:tcn,tcn,split-2,366,8278,33.1358787836,7.49450285712,3818,426,5096,34.960679625,completed
split-2:transformer,transformer,split-2,366,8278,35.9448013392,8.1298105324,3938,318,4892,54.660949442,completed
split-2:neural-ode,neural-ode,split-2,366,8278,35.1301391248,7.94555441736,3748,380,4888,24.869169951,completed
split-2:custom-final,custom-final,split-2,366,8278,28.2393043628,6.38702080643,2924,340,3944,5.604006777,completed
split-3:last-day,last-day,split-3,238,2168,34.4095940959,3.13445378151,1513,49,1660,0.071295536,completed
split-3:last-week,last-week,split-3,238,2168,46.6328413284,4.24789915966,1729,49,1876,0.070302079,completed
split-3:recent-7,recent-7,split-3,238,2168,31.8035055351,2.89705882353,900,112,1236,0.25716651,completed
split-3:weekday-8,weekday-8,split-3,238,2168,61.2084870849,5.5756302521,1990,131,2383,0.305335335,completed
split-3:ridge,ridge,split-3,238,2168,42.8030006806,3.89902964183,1272,94,1554,0.00393937799993,completed
split-3:elastic-net,elastic-net,split-3,238,2168,40.3866340619,3.67891691791,1299,85,1554,0.012615463,completed
split-3:huber,huber,split-3,238,2168,38.4321243165,3.50087586211,1433,50,1583,0.177394772,completed
split-3:linear-quantile-0,linear-quantile-0,split-3,238,2168,37.0001028141,3.37042953366,1249,76,1477,4.447023498,completed
split-3:linear-quantile-1,linear-quantile-1,split-3,238,2168,131.595940959,11.987394958,4057,1,4060,1.031682769,completed
split-3:spline-ridge,spline-ridge,split-3,238,2168,37.5890863096,3.4240814756,1302,55,1467,0.0182399089999,completed
split-3:poisson,poisson,split-3,238,2168,41.4898523985,3.77941176471,1732,39,1849,0.242871365,completed
split-3:negative-binomial,negative-binomial,split-3,238,2168,42.2278597786,3.84663865546,1214,78,1448,0.268979648,completed
split-3:svr,svr,split-3,238,2168,32.5326390677,2.9634773739,1317,48,1461,0.450633411,completed
split-3:knn,knn,split-3,238,2168,39.5365211249,3.60147805878,1677,35,1782,0.012911439,completed
split-3:random-forest,random-forest,split-3,238,2168,30.3736162362,2.76680672269,659,188,1223,2.416000596,completed
split-3:extra-trees,extra-trees,split-3,238,2168,30.6734317343,2.79411764706,768,139,1185,1.172864706,completed
split-3:histogram-small,histogram-small,split-3,238,2168,29.4692390433,2.68442480025,642,128,1026,1.27115035,completed
split-3:histogram-medium,histogram-medium,split-3,238,2168,29.0632991818,2.64744674899,682,124,1054,2.859445861,completed
split-3:histogram-large,histogram-large,split-3,238,2168,30.412251817,2.7703261319,680,122,1046,6.371640776,completed
split-3:lightgbm,lightgbm,split-3,238,2168,29.9687955719,2.72993062184,770,95,1055,0.714641698,completed
split-3:xgboost,xgboost,split-3,238,2168,29.0041907247,2.6420624156,876,104,1188,0.934785328,completed
split-3:catboost,catboost,split-3,238,2168,31.0005663273,2.82391713435,794,105,1109,0.840293098,completed
split-3:sarima,sarima,split-3,238,2168,30.4998855921,2.77830890604,855,97,1146,13.449261295,completed
split-3:state-space,state-space,split-3,238,2168,35.0287960842,3.19085839961,607,274,1429,6.088728655,completed
split-3:holt,holt,split-3,238,2168,32.070105765,2.92134408817,711,182,1257,0.301586915,completed
split-3:ou-sde,ou-sde,split-3,238,2168,36.4420828573,3.3195981359,1163,73,1382,0.386295979,completed
split-3:nonlinear-ode,nonlinear-ode,split-3,238,2168,36.7756019241,3.34997920048,1626,38,1740,0.476393726,completed
split-3:nonlinear-sde,nonlinear-sde,split-3,238,2168,37.7321902307,3.43711716051,1176,75,1401,0.632676665,completed
split-3:mlp,mlp,split-3,238,2168,37.9576999606,3.45765939137,959,121,1322,12.351496808,completed
split-3:lstm,lstm,split-3,238,2168,31.541622504,2.87320326003,986,88,1250,26.069813056,completed
split-3:gru,gru,split-3,238,2168,33.6941606263,3.06928320327,1255,55,1420,63.093508517,completed
split-3:tcn,tcn,split-3,238,2168,37.1168677263,3.38106593406,1314,57,1485,40.342432886,completed
split-3:transformer,transformer,split-3,238,2168,42.1435729455,3.83896076243,1276,73,1495,63.070887528,completed
split-3:neural-ode,neural-ode,split-3,238,2168,36.2720914055,3.3041132003,938,121,1301,28.470011285,completed
split-3:custom-final,custom-final,split-3,238,2168,31.2366326086,2.8454209872,888,96,1176,5.741486739,completed
