variantId,splitId,date,product,weightCutoffExclusive,weightLatestOutcome,weightRows,residualFirstOutcome,residualLatestOutcome,residualRows,newObservedHistoryUsed,correctionP50,correctionP75,weight_extra-trees,weight_catboost,weight_scaled-catboost,weight_spline-ridge,weight_weekday-8
custom-weekly-daily,split-1,2023-07-01,11,2023-06-26,2023-06-25,293,2023-05-06,2023-06-30,54,False,-0.99397819769743956,1.6802761309673706,0.24602049655074507,0.099562960593552588,0.31166634392808668,0.26827008131455116,0.074480117613064653
custom-weekly-daily,split-1,2023-07-01,12,2023-06-26,2023-06-25,293,2023-05-06,2023-06-30,53,False,-0.35842205826752688,0.44050884397928908,0.24602049655074507,0.099562960593552588,0.31166634392808668,0.26827008131455116,0.074480117613064653
custom-weekly-daily,split-1,2023-07-01,13,2023-06-26,2023-06-25,293,2023-05-06,2023-06-30,54,False,-2.2756648681187621,-0.14016597404928996,0.24602049655074507,0.099562960593552588,0.31166634392808668,0.26827008131455116,0.074480117613064653
custom-weekly-daily,split-1,2023-07-01,21,2023-06-26,2023-06-25,293,2023-05-06,2023-06-30,54,False,-0.16221854589973275,0.19604044574074889,0.24602049655074507,0.099562960593552588,0.31166634392808668,0.26827008131455116,0.074480117613064653
custom-weekly-daily,split-1,2023-07-01,35,2023-06-26,2023-06-25,293,2023-05-06,2023-06-30,54,False,-1.8131956664343751,1.7241256811480368,0.24602049655074507,0.099562960593552588,0.31166634392808668,0.26827008131455116,0.074480117613064653
custom-weekly-daily,split-1,2023-07-01,82,2023-06-26,2023-06-25,293,2023-05-06,2023-06-30,54,False,0.7340822674846631,0.36443577576075098,0.24602049655074507,0.099562960593552588,0.31166634392808668,0.26827008131455116,0.074480117613064653
custom-weekly-daily,split-1,2023-07-02,11,2023-06-26,2023-06-25,293,2023-05-07,2023-07-01,54,True,-0.95862750865799096,1.6205173564350583,0.24602049655074507,0.099562960593552588,0.31166634392808668,0.26827008131455116,0.074480117613064653
custom-weekly-daily,split-1,2023-07-02,12,2023-06-26,2023-06-25,293,2023-05-07,2023-07-01,53,True,-0.022580592815962062,0.82978821862919871,0.24602049655074507,0.099562960593552588,0.31166634392808668,0.26827008131455116,0.074480117613064653
custom-weekly-daily,split-1,2023-07-02,13,2023-06-26,2023-06-25,293,2023-05-07,2023-07-01,54,True,-2.2493548515884201,-0.13526506586574835,0.24602049655074507,0.099562960593552588,0.31166634392808668,0.26827008131455116,0.074480117613064653
custom-weekly-daily,split-1,2023-07-02,21,2023-06-26,2023-06-25,293,2023-05-07,2023-07-01,54,True,-0.15533393917719768,0.28168172776360556,0.24602049655074507,0.099562960593552588,0.31166634392808668,0.26827008131455116,0.074480117613064653
custom-weekly-daily,split-1,2023-07-02,35,2023-06-26,2023-06-25,293,2023-05-07,2023-07-01,54,True,-1.9024585242981376,1.1157031807719529,0.24602049655074507,0.099562960593552588,0.31166634392808668,0.26827008131455116,0.074480117613064653
custom-weekly-daily,split-1,2023-07-02,82,2023-06-26,2023-06-25,293,2023-05-07,2023-07-01,54,True,0.73139823725619979,0.36310328663548308,0.24602049655074507,0.099562960593552588,0.31166634392808668,0.26827008131455116,0.074480117613064653
custom-weekly-daily,split-1,2023-07-03,11,2023-07-03,2023-07-02,323,2023-05-08,2023-07-02,54,True,-0.84085701586475947,1.5154699085309196,0.28969175038109501,0.098801119086317155,0.27524664987538677,0.2508619950376752,0.085398485619525899
custom-weekly-daily,split-1,2023-07-03,12,2023-07-03,2023-07-02,323,2023-05-08,2023-07-02,53,True,-0.0056038486683384478,0.65759365511093226,0.28969175038109501,0.098801119086317155,0.27524664987538677,0.2508619950376752,0.085398485619525899
custom-weekly-daily,split-1,2023-07-03,13,2023-07-03,2023-07-02,323,2023-05-08,2023-07-02,54,True,-2.2928703384880205,-0.20549491046193702,0.28969175038109501,0.098801119086317155,0.27524664987538677,0.2508619950376752,0.085398485619525899
custom-weekly-daily,split-1,2023-07-03,21,2023-07-03,2023-07-02,323,2023-05-08,2023-07-02,54,True,-0.14663000461285777,-0.081306412331269756,0.28969175038109501,0.098801119086317155,0.27524664987538677,0.2508619950376752,0.085398485619525899
custom-weekly-daily,split-1,2023-07-03,35,2023-07-03,2023-07-02,323,2023-05-08,2023-07-02,54,True,-1.5088295127995575,1.633736704462236,0.28969175038109501,0.098801119086317155,0.27524664987538677,0.2508619950376752,0.085398485619525899
custom-weekly-daily,split-1,2023-07-03,82,2023-07-03,2023-07-02,323,2023-05-08,2023-07-02,54,True,0.75646206766921986,0.032187669049582555,0.28969175038109501,0.098801119086317155,0.27524664987538677,0.2508619950376752,0.085398485619525899
custom-weekly-daily,split-1,2023-07-04,11,2023-07-03,2023-07-02,323,2023-05-09,2023-07-03,54,True,-0.68397660723336395,2.0647560168349934,0.28969175038109501,0.098801119086317155,0.27524664987538677,0.2508619950376752,0.085398485619525899
custom-weekly-daily,split-1,2023-07-04,12,2023-07-03,2023-07-02,323,2023-05-09,2023-07-03,53,True,-0.25419493169194807,0.6552781844943445,0.28969175038109501,0.098801119086317155,0.27524664987538677,0.2508619950376752,0.085398485619525899
custom-weekly-daily,split-1,2023-07-04,13,2023-07-03,2023-07-02,323,2023-05-09,2023-07-03,54,True,-2.280608999779528,-0.20439600719743467,0.28969175038109501,0.098801119086317155,0.27524664987538677,0.2508619950376752,0.085398485619525899
custom-weekly-daily,split-1,2023-07-04,21,2023-07-03,2023-07-02,323,2023-05-09,2023-07-03,54,True,-0.60973720505646867,-0.3441606134049896,0.28969175038109501,0.098801119086317155,0.27524664987538677,0.2508619950376752,0.085398485619525899
custom-weekly-daily,split-1,2023-07-04,35,2023-07-03,2023-07-02,323,2023-05-09,2023-07-03,54,True,-1.5258463870040637,1.7722442881118241,0.28969175038109501,0.098801119086317155,0.27524664987538677,0.2508619950376752,0.085398485619525899
